;link;data;titulo;texto
10;/br/content/ufrpe-e-universidad-nacional-de-educaci%C3%B3n-unae-firmam-conv%C3%AAnio;09/03/2023 - 14:27;UFRPE e Universidad Nacional de Educación (UNAE) firmam convênio;"Em solenidade agendada para o dia 13 de março, às 14 horas, a UFRPE celebrará acordo de cooperação técnica e científica com a Universidad Nacional de Educación – UNAE, do Equador. Na ocasião, o Professor Marcelo Carneiro Leão assinará convênio interinstitucional cujo objetivo é promover, estimular e facilitar a integração entre as duas Universidades, para o desenvolvimento de projetos de conexão com a sociedade no âmbito da Cátedra Paulo Freire (UFRPE) e da Cátedra Abierta Latinoamericana y Caribeña (EPJA/UNAE), no ato representada pelo seu Diretor, o Professor Wilfredo García Felipe. A Professora Monica Folena, Coordenadora da Cátedra Paulo Freire da UFRPE e gestora institucional do Acordo UFRPE/UNAE, destaca a importância dos objetivos do aludido termo de cooperação: ""teremos ações para a identificação de problemas sociais relacionados com o aumento progressivo do abandono dos jovens aos estudos, aumento da violência, atividades criminosas, entre outros, na região da América Latina e Caribe,  a promoção da cultura freireana nas áreas de competência da Cátedra Paulo Freire da UFRPE e da Cátedra Abierta Latinoamericana y Caribeña para Jovens e Adultos da UNAE, o estímulo a uma comunidade virtual de aprendizagem e socialização de experiências, intercâmbio de resultados de pesquisa, promoção de cursos, atividades científicas e acadêmicas na graduação, pós-graduação, pós-doutorado e ligação com a sociedade, o desenvolvimento de jornadas de intercâmbio para professores e alunos pesquisadores, publicação de artigos científicos e livros conjuntos com base na divulgação do pensamento freiriano e a formação de professores em geral, além de outras ações"", afirmou."
11;/br/content/deciso-aprova-orienta%C3%A7%C3%A3o-para-inclus%C3%A3o-de-autores-pouco-representados;09/03/2023 - 14:14;Deciso aprova orientação para inclusão de autores pouco representados; O Conselho Técnico-Administrativo do Departamento de Ciências Sociais (DECISO) aprovou, em dezembro de 2022, a orientação para inclusão nas bibliografias das disciplinas ofertadas pelo DECISO de autores/autoras negros/negras (preferencialmente mulheres negras) como também autoras/es latino-americanas/os, mulheres indígenas, ciganas/os, periféricos/as ou LGBQIA+, ou outras minorias pouco representadas no espectro acadêmico brasileiro e estrangeiro. A iniciativa busca dar visilidade e possibilidade de representação de vozes, pensamentos e ideias pouco, ou nunca, consideradas nas formas de análise e interpretação da realidade e dos fenômenos sociais. Procura-se desse modo, garantir que outras formas de representação, organização e visão de mundo possam ser consideradas na formação dos(as) estudantes, sobretudo quando considerada a complexidade e diversidade socio cultural do mundo contemporâneo. Segundo o parecer aprovado, a inclusão não deve ter caráter obrigatório, mas, sim, observar a autonomia de cátedra e as opções teórico-metodológicas de cada do docente. A iniciativa é um passo importante para que outros departamentos da UFRPE possam também contribuir para uma formação cada vez mais inclusiva e necessária.
12;/br/content/ufrpe-recebe-selo-ods-de-educa%C3%A7%C3%A3o-em-cerim%C3%B4nia-nesta-quinta-903;09/03/2023 - 09:03;UFRPE recebe Selo ODS de Educação em cerimônia nesta quinta (9/03);"A UFRPE recebe oficialmente, nesta quinta-feira (9/03), o Selo ODS Educação, a única instituição pública de Pernambuco entre 17 de todo o país certificadas em 2022. O reitor, Marcelo Carneiro Leão, recebe a honraria em Brasília, durante a Cerimônia de Entrega de Certificados do Selo ODS Educação. O evento tem como objetivo realizar a entrega dos certificados do Selo para as instituições de ensino, públicas e privadas, certificadas em 2022. Além disso, haverá um espaço para exposição de banners dos projetos que receberam a premiação. Nestes banners, elaborados e impressos por cada instituição, estão disponíveis espaços para introdução, resumos das organizações, dos projetos certificados, dos impactos sociais e Objetivos de Desenvolvimento Sustentável (ODS) relacionados. No evento, estarão presentes representantes das Instituições beneficiadas com o Selo, dentre reitores, gestores e coordenadores dos projetos. Haverá transmissão ao vivo do evento, a partir das 14:30, por meio da página do Selo ODS no Instagram: https://instagram.com/seloods?igshid=YmMyMTA2M2Y= Resumo sobre o processo de Certificação: Na primeira edição da certificação, 17 instituições de ensino foram contempladas, somando 241 impactos sociais e 126 projetos executados. A UFRPE está entre as 11 instituições públicas de ensino, sendo a única do estado de Pernambuco. O Projeto Selo ODS é uma iniciativa resultante da parceria entre o programa UnB2030, o Instituto Abaçaí Brasil, o Projeto FIB2030 e o coletivo extensionista Roda das Minas, que visa a adaptar a tecnologia chamada Selo Social – desenvolvida pelo Instituto Abaçaí e aplicada em âmbito nacional – para o Selo ODS Universidades. A ideia é incentivar e reconhecer a inserção das instituições de ensino superior em um vasto movimento de análise, estudo e aplicação prática dos Objetivos de Desenvolvimento Sustentável (ODS). Resumidamente, o processo de certificação das instituições consideraram os seguintes critérios: - Projetos cadastrados na plataforma nas áreas de ensino, pesquisa, extensão e gestão; - Promover uma atividade/ espaços de discussão sobre ODS na instituição; - Demonstrar sua contribuição na melhoria do ODS 4 - Educação de qualidade Na UFRPE, o processo de cadastramento para a certificação foi conduzido pela Coordenadoria de Sustentabilidade da PROPLAN, com o apoio de diversos setores como a Pró-Reitoria de Extensão e o Instituto Ipê, para levantamento de projetos voltados à sustentabilidade. Assim, dois projetos de extensão da UFRPE conseguiram o Selo Social, totalizando 11 impactos socioambientais e 480 beneficiários em 2022. O projeto de extensão ""Qualificação para o Trabalho, Geração de Emprego e Renda"", coordenado pela professora Joseana Maria Saraiva, do Departamento de Ciências do Consumo, foi criado em 1994 e vem atuando de forma contínua, com o objetivo de possibilitar, por meio da qualificação profissional, o desenvolvimento de competências e habilidades de trabalhadores/as jovens, adultos/as e idosos/as para o exercício de uma função no mundo do trabalho, tendo em vista a obtenção de sua subsistência, autonomia e independência. O projeto de extensão ""REMARTEC: Ações Socioambientais para o uso do descarte de resíduos oriundos da mariscagem"", coordenado pela professora Betânia Cristina Guilherme, do Departamento de Biologia, atua, desde 2021, buscando o estabelecimento de uma gestão sustentável por meio de técnicas de reuso dos resíduos da mariscagem e pesca em Pernambuco, fortalecendo a renda familiar com a inserção de mais uma atividade produtiva, através de capacitações sobre as técnicas de produção de artefatos com os resíduos, voltadas a mulheres em situação de vulnerabilidade socioeconômica. Ambos os projetos atuam em prol da melhoria da qualidade de vida da comunidade em que se inserem e são exemplos de ações socioambientais a serem seguidos, na busca de uma atuação mais sustentável e integrada à sociedade. A expectativa é que a cada edição mais projetos desenvolvidos pela UFRPE sejam reconhecidos e contemplados com o Selo Social. "
13;/br/content/ufrpe-lugar-de-mulher-traz-campanha-e-discuss%C3%A3o-de-pol%C3%ADticas-para-mulheres;08/03/2023 - 17:31;UFRPE, lugar de mulher traz campanha e discussão de políticas para mulheres;O Dia Internacional da Mulher foi marcado, nesta quarta (8/03), pelo evento UFRPE, lugar de mulher, que reuniu estudantes, técnicas-administrativas, docentes e servidoras terceirizadas, no Hall da Reitoria, para um diálogo importante sobre as lutas, desafios e políticas em prol da equidade de gênero, justiça e direitos. Na ocasião, foi lançado, pela Reitoria e Ouvidoria, a campanha UFRPE, lugar de mulher, na criação de um canal permanente de escuta e repúdio a qualquer tipo de violência contra a mulher, seja física, psicológica, sexual, patrimonial, entre outras.  A ouvidora, Norma Nancy, destaca a efetiva abertura da Ouvidora a todas para essa escuta, presencialmente ou pelo endereço: www.falabr.cgu.gov.br /. O reitor, Marcelo Carneiro Leão, que se colocou como ouvinte das mulheres presentes, destacou algumas medidas importantes que vêm sendo tomadas na busca pela redução das desigualdades de gênero, como uma resolução que propõe, entre outras medidas, tratamento diferenciado e programas afirmativos em situações de trabalho, concurso e progressão na carreira para mulheres. “Sabemos que as mulheres enfrentam muito mais desafios, a começar pela maternidade, além de tantas tarefas que precisam ser levadas em consideração em todas as situações”, ressaltou. Além de fortes falas da docente Elisângela Bezerra, das técnicas-administrativas Karla Pinheiro e Fátima Brito, e da estudante Karine Rito, a ativista de direitos humanos Mirtes Renata enriqueceu o ato com seu importante depoimento de luta por respeito aos direitos das mulheres e ocupação de espaços de poder. Conhecida carinhosamente como Ruralinda, a UFRPE também pode ser considerada feminina por seu quadro de servidores e servidoras equivalente em número, além da ocupação de cargos de gestão por mulheres e homens, a exemplo das pró-reitorias, que, de sete no total, quatro possuem gestoras à frente. “Precisamos ocupar esses espaços, e a UFRPE é uma importante representante dessa situação”, ressaltou a pró-reitora de Planejamento Carolina Raposo. Também marcaram presença a pró-reitora de Pós-Graduação, Madalena Guerra, e a representante da pró-reitoria de Gestão de Pessoas Renata Andrade.   VEJA TODAS AS FOTOS NA GALERIA ABAIXO. 
14;/br/content/ufrpe-retoma-protagonismo-no-estudo-e-monitoramento-de-tubar%C3%B5es-em-pe;07/03/2023 - 20:18;UFRPE retoma protagonismo no estudo e monitoramento de tubarões em PE;A UFRPE retomará estudos e ações de monitoramento de tubarões no litoral pernambucano. Em reunião nesta terça, no Palácio das Princesas, Governo de Pernambuco assumiu o compromisso de novo protocolo de intenções com a Universidade, que protagoniza os trabalhos há décadas, junto a outras instituições.  Assista ao vídeo e fique por dentro da novidade e também de importantes informações sobre incidentes com tubarões.  .https://www.instagram.com/reel/CpgXgJPvu7H/?igshid=NTdlMDg3MTY=  Imagens: Ascom UFRPE/ Governo de Pernambuco/ Janaína Pepeu . #tubaroes #tubaroesnorecife #engenhariadepesca #biologia
15;/br/content/ufrpe-recebe-confer%C3%AAncia-com-professor-joaquim-dolz;07/03/2023 - 10:17;UFRPE recebe conferência com professor Joaquim Dolz;"O Núcleo de Internacionalização do Instituto IPÊ divulga para participar da conferência intitulada ""Ensino de oralidade e plurilinguismo"", proferida pelo professor Joaquim Dolz (Universidade de Genebra- Suíça), no salão nobre da Reitoria da UFRPE, no dia 14/03/2023 (terça-feira), às 19h. Haverá emissão de certificado e as vagas são limitadas. Joaquim Dolz é professor e pesquisador em didática do francês como língua materna, com doutorado em Ciências da Educação - Didática das Línguas, pela Universidade de Genebra (Suíça), onde é atuante na Faculdade de Psicologia e Ciências da Educação. O docente esteve na busca de desenvolver a pesquisa sobre a didática das línguas, envolvendo também a engenharia didática, o estudo a respeito das competências dos estudantes, a modelização didática dos gêneros  textuais, o ensino da produção oral e escrita, assim como o estudo dos objetos de ensino e a atividade dos professores de língua. Tem se dedicado ao estudo dos processos de formação de professores em uma perspectiva didática. As inscrições para o evento podem ser feitas pelo link: www.even3.com.br/palestras-histel  "
16;/br/content/inscri%C3%A7%C3%B5es-abertas-para-pr%C3%AAmio-destaque-na-inicia%C3%A7%C3%A3o-cient%C3%ADfica-e-tecnol%C3%B3gica;03/03/2023 - 16:04;Inscrições abertas para Prêmio Destaque na Iniciação Científica e Tecnológica;" O Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) abriu as inscrições para a 20ª edição do Prêmio Destaque na Iniciação Científica e Tecnológica. O Prêmio conta com a parceria da Academia Brasileira de Ciências (ABC) e da Sociedade Brasileira para o Progresso da Ciência (SBPC). O objetivo é estimular bolsistas de Iniciação Científica (IC) e de Iniciação Tecnológica (IT), cujos relatórios finais se destacam pela relevância e qualidade, e as instituições que contribuíram para alcançar os objetivos do programa. Nesta edição, o Prêmio conta com uma nova categoria, o de Bolsista de Iniciação Científica Júnior e um aumento no valor da premiação das categorias Bolsistas de Iniciação Científica e Bolsista de Iniciação Tecnológica, passando de R$ 7 mil para R$ 10 mil. Para cada uma das categorias - Bolsista de Iniciação Científica, Bolsista de Iniciação Tecnológica e Bolsista de Iniciação Científica Júnior, serão premiados até três bolsistas, sendo um para cada grande área do conhecimento - Ciências da Vida; Ciências Exatas, da Terra e Engenharias; e Ciências Humanas e Sociais, Letras e Artes. Os bolsistas vencedores das categorias Bolsistas de Iniciação Científica e Bolsista de Iniciação Tecnológica receberão R$ 10 mil em dinheiro, bolsas de mestrado ou de doutorado e diploma. Já os vencedores da categoria Bolsista de Iniciação Científica Júnior, receberão R$ 5 mil e diploma além de bolsas de Iniciação Científica ou Iniciação Tecnológica. As inscrições das instituições do PIBIC para concorrer na categoria Mérito Institucional serão automáticas, desde que apresentem bolsistas do PIBIC, PIBIC AF ou oriundos de quota do pesquisador, inscritos na categoria Bolsista de Iniciação Científica. Para submeter as propostas, as coordenações dos Programas Institucionais de Iniciação Científica e Tecnológica (PIBIC, PIBITI, PIBIC-Af e PIBIC-EM) das universidades e das instituições de pesquisa, devem encaminhar ao CNPq, por e-mail, até o dia 29 de março de 2023, os melhores relatórios, classificados ou premiados pelo comitê interno ou externo nas jornadas, salões ou seminários, realizados ao longo do 2º semestre de 2022. Todos os premiados e o representante da instituição agraciada com o Mérito Institucional receberão passagens aéreas e diárias para participar da 75ª Reunião Anual da Sociedade Brasileira para o Progresso da Ciência (SBPC), que será realizada de 23 a 29 de julho de 2023 na Universidade Federal do Paraná (UFPR), em Curitiba. O resultado será divulgado pelo CNPq até 30 de junho de 2023. Para mais informações, acesse a página do Prêmio. Com informações do CNPQ"
17;/br/content/marca%C3%A7%C3%A3o-no-hospital-veterin%C3%A1rio-ocorre-excepcionalmente-na-ter%C3%A7a-703;03/03/2023 - 12:46;Marcação no Hospital Veterinário ocorre excepcionalmente na terça (7/03);A coordenação do Hospital Veterinário informa que o agendamento para clínica médica de pequenos animais ocorrerá excepcionalmente na terça-feira (7/03), devido ao feriado da Data Magna no dia anterior.
18;/br/content/ufrpe-lugar-de-mulher-traz-fala-de-representantes-da-institui%C3%A7%C3%A3o-e-da-sociedade-numa-roda-de;03/03/2023 - 12:24;UFRPE: Lugar de Mulher traz fala de representantes da Instituição e da sociedade numa roda de...;Lugar de mulher é na UFRPE e onde mais ela quiser. Para marcar as reflexões e atos do Dia Internacional da Mulher, 8 de março, estudantes e servidoras docentes, técnicas e terceirizadas estão convidadas para uma roda de conversa no Hall da Reitoria às 10h. O momento de diálogo terá falas de mulheres que representam a nossa Ruralinda e a sociedade, com a presença da ativista de direitos humanos Mirtes Renata, integrante do Instituto Menino Miguel da UFRPE. A participação de todas é livre, e o bate-papo será degustado com um bom café.
19;/br/content/ufrpe-recebe-iii-jornada-de-educa%C3%A7%C3%A3o-continuada;03/03/2023 - 11:26;UFRPE recebe a III Jornada de Educação Continuada;A Coordenação de Acompanhamento e Monitoramento de Egressos (CAME), promove, no próximo dia 08/03, a III Jornada de Educação Continuada, evento voltado para a inserção ao mercado de trabalho e acontecerá na sala de seminários do CEGOE. A jornada é aberta ao público. Os interessados podem se inscrever através do link https://docs.google.com/forms/d/e/1FAIpQLSfKIUSJe7yjJQj9AHZRh_YoNzfZztXEz6X7ycH0dyQjfVHEEA/viewform
